Function,Calls,Total Time,Total CPU,Total Memory,Total GPU,Total IO,Avg Duration,Avg CPU Usage,Avg Memory Usage,Avg GPU Usage,Avg IO Usage
Sample,3,0.008393,0.008389,0.000000,0.000000,0.000000,0.002798,0.002796,0.000000,0.000000,0.000000
__post_init__,671,16.923094,17.316194,-0.000083,0.000000,0.000000,0.025221,0.025807,-0.000000,0.000000,0.000000
<dictcomp>,2442,2.011474,2.011419,0.000008,0.000000,0.000000,0.000824,0.000824,0.000000,0.000000,0.000000
_dump,1160,4.964767,4.964281,0.000034,0.000000,0.000000,0.004280,0.004280,0.000000,0.000000,0.000000
dump,1160,9.136255,9.135512,0.000025,0.000000,0.000000,0.007876,0.007875,0.000000,0.000000,0.000000
<lambda>,830,0.582456,0.582285,-0.000001,0.000000,0.000000,0.000702,0.000702,-0.000000,0.000000,0.000000
<setcomp>,174,0.117972,0.117989,0.000002,0.000000,0.000000,0.000678,0.000678,0.000000,0.000000,0.000000
_keys,138,0.719099,0.719101,0.000007,0.000000,0.000000,0.005211,0.005211,0.000000,0.000000,0.000000
__contains__,308,1.135655,1.135656,0.000015,0.000000,0.000000,0.003687,0.003687,0.000000,0.000000,0.000000
<genexpr>,4086,3.035405,3.035247,0.000016,0.000000,0.000000,0.000743,0.000743,0.000000,0.000000,0.000000
__getitem__,239,3.588740,3.588485,-0.000018,0.000000,0.000000,0.015016,0.015015,-0.000000,0.000000,0.000000
default_value,26,0.780384,0.780310,-0.000013,0.000000,0.000000,0.030015,0.030012,-0.000001,0.000000,0.000000
<listcomp>,301,3.111523,3.111449,-0.000024,0.000000,0.000000,0.010337,0.010337,-0.000000,0.000000,0.000000
unpack_from,20,2.157289,2.157142,0.000000,0.000000,0.000000,0.107864,0.107857,0.000000,0.000000,0.000000
items,992,0.692592,0.692609,0.000003,0.000000,0.000000,0.000698,0.000698,0.000000,0.000000,0.000000
flatten,61,18.500050,18.498431,0.000096,0.000000,0.000000,0.303280,0.303253,0.000002,0.000000,0.000000
__len__,3,0.023335,0.023334,0.000000,0.000000,0.000000,0.007778,0.007778,0.000000,0.000000,0.000000
field_info,1084,0.757625,0.757616,-0.000010,0.000000,0.000000,0.000699,0.000699,-0.000000,0.000000,0.000000
_numpy,10,0.884304,0.884285,-0.000002,0.000000,0.000000,0.088430,0.088428,-0.000000,0.000000,0.000000
numpy,10,0.920764,0.920747,-0.000005,0.000000,0.000000,0.092076,0.092075,-0.000000,0.000000,0.000000
simplify,135,0.220403,0.220326,0.000010,0.000000,0.000000,0.001633,0.001632,0.000000,0.000000,0.000000
schema,30,1.962202,1.962108,0.000033,0.000000,0.000000,0.065407,0.065404,0.000001,0.000000,0.000000
unflatten,17,3.026050,3.025916,-0.000008,0.000000,0.000000,0.178003,0.177995,-0.000000,0.000000,0.000000
dict,12,0.163741,0.163725,0.000006,0.000000,0.000000,0.013645,0.013644,0.000001,0.000000,0.000000
add_field_info,12,0.008308,0.008309,-0.000000,0.000000,0.000000,0.000692,0.000692,-0.000000,0.000000,0.000000
_str,273,0.294717,0.294707,-0.000009,0.000000,0.000000,0.001080,0.001080,-0.000000,0.000000,0.000000
from_space,2,0.087520,0.087504,-0.000006,0.000000,0.000000,0.043760,0.043752,-0.000003,0.000000,0.000000
keys,34,0.220604,0.220604,-0.000008,0.000000,0.000000,0.006488,0.006488,-0.000000,0.000000,0.000000
values,36,0.024197,0.024198,0.000000,0.000000,0.000000,0.000672,0.000672,0.000000,0.000000,0.000000
pack,10,1.845292,1.845203,0.000007,0.000000,0.000000,0.184529,0.184520,0.000001,0.000000,0.000000
space_for,48,0.047024,0.047037,-0.000002,0.000000,0.000000,0.000980,0.000980,-0.000000,0.000000,0.000000
space,6,0.368057,0.368050,0.000005,0.000000,0.000000,0.061343,0.061342,0.000001,0.000000,0.000000
__setitem__,44,0.937514,0.937489,-0.000010,0.000000,0.000000,0.021307,0.021307,-0.000000,0.000000,0.000000
_torch,2,0.239215,0.239157,-0.000005,0.000000,0.000000,0.119608,0.119579,-0.000002,0.000000,0.000000
torch,2,0.246553,0.246495,-0.000005,0.000000,0.000000,0.123276,0.123247,-0.000003,0.000000,0.000000
unpack,2,0.008612,0.008610,-0.000001,0.000000,0.000000,0.004306,0.004305,-0.000000,0.000000,0.000000
